Thorlabs Beam
X-Y Profiles Data Export
Version: 9.0.5741.535

Date d.M.yyyy	28.3.2025
Time H:mm:ss	13:38:25

Device: 	BC106N-VIS
S/N: 	M00311551

Pos X [µm]	X Value [%]	Pos Y [µm]	Y Value [%]	
-3205,649905	0,000000	-2334,899931	0,000000	
-3199,199905	0,000000	-2328,449931	0,000000	
-3192,749906	0,000000	-2321,999931	0,000000	
-3186,299906	0,000000	-2315,549932	0,000000	
-3179,849906	0,000000	-2309,099932	0,000000	
-3173,399906	0,000000	-2302,649932	0,000000	
-3166,949906	0,000000	-2296,199932	0,000000	
-3160,499907	0,000000	-2289,749932	0,000000	
-3154,049907	0,000000	-2283,299932	0,000000	
-3147,599907	0,000000	-2276,849933	0,000000	
-3141,149907	0,000000	-2270,399933	0,000000	
-3134,699907	0,000000	-2263,949933	0,000000	
-3128,249907	0,000000	-2257,499933	0,000000	
-3121,799908	0,000000	-2251,049933	0,000000	
-3115,349908	0,000000	-2244,599934	0,000000	
-3108,899908	0,000000	-2238,149934	0,000000	
-3102,449908	0,000000	-2231,699934	0,000000	
-3095,999908	0,000000	-2225,249934	0,000000	
-3089,549909	0,000000	-2218,799934	0,000000	
-3083,099909	0,000000	-2212,349935	0,000000	
-3076,649909	0,000000	-2205,899935	0,000000	
-3070,199909	0,000000	-2199,449935	0,000000	
-3063,749909	0,000000	-2192,999935	0,000000	
-3057,299910	0,000000	-2186,549935	0,000000	
-3050,849910	0,000000	-2180,099936	0,000000	
-3044,399910	0,000000	-2173,649936	0,000000	
-3037,949910	0,000000	-2167,199936	0,000000	
-3031,499910	0,000000	-2160,749936	0,000000	
-3025,049911	0,000000	-2154,299936	0,000000	
-3018,599911	0,000000	-2147,849936	0,000000	
-3012,149911	0,000000	-2141,399937	0,000000	
-3005,699911	0,000000	-2134,949937	0,000000	
-2999,249911	0,000000	-2128,499937	0,000000	
-2992,799911	0,000000	-2122,049937	0,000000	
-2986,349912	0,000000	-2115,599937	0,000000	
-2979,899912	0,000000	-2109,149938	0,000000	
-2973,449912	0,000000	-2102,699938	0,000000	
-2966,999912	0,000000	-2096,249938	0,000000	
-2960,549912	0,000000	-2089,799938	0,000000	
-2954,099913	0,000000	-2083,349938	0,000000	
-2947,649913	0,000000	-2076,899939	0,000000	
-2941,199913	0,000000	-2070,449939	0,000000	
-2934,749913	0,000000	-2063,999939	0,000000	
-2928,299913	0,000000	-2057,549939	0,000000	
-2921,849914	0,000000	-2051,099939	0,000000	
-2915,399914	0,000000	-2044,649940	0,000000	
-2908,949914	0,000000	-2038,199940	0,000000	
-2902,499914	0,000000	-2031,749940	0,000000	
-2896,049914	0,000000	-2025,299940	0,000000	
-2889,599915	0,000000	-2018,849940	0,000000	
-2883,149915	0,000000	-2012,399940	0,000000	
-2876,699915	0,000000	-2005,949941	0,000000	
-2870,249915	0,000000	-1999,499941	0,000000	
-2863,799915	0,000000	-1993,049941	0,000000	
-2857,349916	0,000000	-1986,599941	0,000000	
-2850,899916	0,000000	-1980,149941	0,000000	
-2844,449916	0,000000	-1973,699942	0,000000	
-2837,999916	0,000000	-1967,249942	0,000000	
