d / dilky	  d / nm	signal
  24.8331	 787.441	  255
  24.8335	 787.461	  255
  24.8339	 787.480	  255
  24.8342	 787.500	  255
  24.8346	 787.519	  255
  24.8350	 787.539	  255
  24.8353	 787.558	  255
  24.8357	 787.578	  255
  24.8361	 787.598	  255
  24.8364	 787.617	  255
  24.8368	 787.637	  255
  24.8372	 787.656	  255
  24.8376	 787.676	  255
  24.8379	 787.695	  255
  24.8383	 787.715	  255
  24.8387	 787.735	  255
  24.8390	 787.754	  255
  24.8394	 787.774	  255
  24.8398	 787.793	  255
  24.8401	 787.813	  255
  24.8405	 787.832	  255
  24.8409	 787.852	  255
  24.8412	 787.871	  255
  24.8416	 787.891	  255
  24.8420	 787.911	  255
  24.8424	 787.930	  255
  24.8427	 787.950	  255
  24.8431	 787.969	  255
  24.8435	 787.989	  255
  24.8438	 788.008	  255
  24.8442	 788.028	  255
  24.8446	 788.048	  255
  24.8449	 788.067	  255
  24.8453	 788.087	  255
  24.8457	 788.106	  255
  24.8461	 788.126	  255
  24.8464	 788.145	  255
  24.8468	 788.165	  255
  24.8472	 788.185	  255
  24.8475	 788.204	  255
  24.8479	 788.224	  255
  24.8483	 788.243	  255
  24.8486	 788.263	  255
  24.8490	 788.282	  255
  24.8494	 788.302	  255
  24.8498	 788.321	  255
  24.8501	 788.341	  255
  24.8505	 788.361	  255
  24.8509	 788.380	  255
  24.8512	 788.400	  255
  24.8516	 788.419	  255
  24.8520	 788.439	  255
  24.8523	 788.458	  255
  24.8527	 788.478	  255
  24.8531	 788.498	  255
  24.8535	 788.517	  255
  24.8538	 788.537	  255
  24.8542	 788.556	  255
  24.8546	 788.576	  255
  24.8549	 788.595	  255
  24.8553	 788.615	  255
  24.8557	 788.635	  255
  24.8560	 788.654	  255
  24.8564	 788.674	  231
  24.8568	 788.693	  209
  24.8572	 788.713	  190
  24.8575	 788.732	  172
  24.8579	 788.752	  153
  24.8583	 788.772	  135
  24.8586	 788.791	  118
  24.8590	 788.811	  102
  24.8594	 788.830	   89
  24.8597	 788.850	   79
  24.8601	 788.869	   71
  24.8605	 788.889	   66
  24.8609	 788.908	   62
  24.8612	 788.928	   60
  24.8616	 788.948	   58
  24.8620	 788.967	   56
  24.8623	 788.987	   54
  24.8627	 789.006	   53
  24.8631	 789.026	   51
  24.8634	 789.045	   49
  24.8638	 789.065	   48
  24.8642	 789.085	   46
  24.8645	 789.104	   45
  24.8649	 789.124	   44
  24.8653	 789.143	   42
  24.8657	 789.163	   42
  24.8660	 789.182	   41
  24.8664	 789.202	   40
  24.8668	 789.222	   39
  24.8671	 789.241	   38
  24.8675	 789.261	   37
  24.8679	 789.280	   36
