d / dilky	  d / nm	signal
  17.1582	 381.408	    8
  17.1586	 381.428	    8
  17.1590	 381.447	    8
  17.1593	 381.467	    8
  17.1597	 381.486	    8
  17.1601	 381.506	    8
  17.1604	 381.526	    8
  17.1608	 381.545	    8
  17.1612	 381.565	    8
  17.1615	 381.584	    8
  17.1619	 381.604	    8
  17.1623	 381.623	    8
  17.1627	 381.643	    8
  17.1630	 381.662	    8
  17.1634	 381.682	    8
  17.1638	 381.702	    7
  17.1641	 381.721	    8
  17.1645	 381.741	    7
  17.1649	 381.760	    8
  17.1652	 381.780	    7
  17.1656	 381.799	    8
  17.1660	 381.819	    7
  17.1664	 381.839	    8
  17.1667	 381.858	    7
  17.1671	 381.878	    8
  17.1675	 381.897	    7
  17.1678	 381.917	    8
  17.1682	 381.936	    7
  17.1686	 381.956	    8
  17.1689	 381.976	    7
  17.1693	 381.995	    8
  17.1697	 382.015	    7
  17.1700	 382.034	    8
  17.1704	 382.054	    7
  17.1708	 382.073	    7
  17.1712	 382.093	    7
  17.1715	 382.113	    8
  17.1719	 382.132	    7
  17.1723	 382.152	    8
  17.1726	 382.171	    7
  17.1730	 382.191	    8
  17.1734	 382.210	    7
  17.1737	 382.230	    8
  17.1741	 382.249	    7
  17.1745	 382.269	    8
  17.1749	 382.289	    7
  17.1752	 382.308	    8
  17.1756	 382.328	    8
  17.1760	 382.347	    8
  17.1763	 382.367	    8
  17.1767	 382.386	    8
  17.1771	 382.406	    8
  17.1774	 382.426	    8
  17.1778	 382.445	    8
  17.1782	 382.465	    8
  17.1786	 382.484	    8
  17.1789	 382.504	    9
  17.1793	 382.523	    9
  17.1797	 382.543	    9
  17.1800	 382.563	    9
  17.1804	 382.582	   10
  17.1808	 382.602	   10
  17.1811	 382.621	   11
  17.1815	 382.641	   11
  17.1819	 382.660	   12
  17.1823	 382.680	   12
  17.1826	 382.699	   12
  17.1830	 382.719	   12
  17.1834	 382.739	   12
  17.1837	 382.758	   12
  17.1841	 382.778	   12
  17.1845	 382.797	   11
  17.1848	 382.817	   11
  17.1852	 382.836	   10
  17.1856	 382.856	   10
  17.1860	 382.876	    9
  17.1863	 382.895	    9
  17.1867	 382.915	    8
  17.1871	 382.934	    8
  17.1874	 382.954	    8
  17.1878	 382.973	    8
  17.1882	 382.993	    8
  17.1885	 383.013	    8
  17.1889	 383.032	    7
  17.1893	 383.052	    8
  17.1896	 383.071	    7
  17.1900	 383.091	    8
  17.1904	 383.110	    7
  17.1908	 383.130	    8
  17.1911	 383.150	    7
  17.1915	 383.169	    8
  17.1919	 383.189	    7
  17.1922	 383.208	    7
  17.1926	 383.228	    7
  17.1930	 383.247	    7
  17.1933	 383.267	    7
  17.1937	 383.286	    7
  17.1941	 383.306	    7
  17.1945	 383.326	    7
  17.1948	 383.345	    7
  17.1952	 383.365	    7
  17.1956	 383.384	    7
  17.1959	 383.404	    7
  17.1963	 383.423	    7
  17.1967	 383.443	    7
  17.1970	 383.463	    7
  17.1974	 383.482	    7
  17.1978	 383.502	    7
  17.1982	 383.521	    8
  17.1985	 383.541	    7
  17.1989	 383.560	    8
  17.1993	 383.580	    7
  17.1996	 383.600	    7
  17.2000	 383.619	    7
  17.2004	 383.639	    7
  17.2007	 383.658	    7
  17.2011	 383.678	    7
  17.2015	 383.697	    7
  17.2019	 383.717	    7
  17.2022	 383.736	    7
  17.2026	 383.756	    7
  17.2030	 383.776	    7
  17.2033	 383.795	    7
  17.2037	 383.815	    7
  17.2041	 383.834	    7
  17.2044	 383.854	    7
  17.2048	 383.873	    7
  17.2052	 383.893	    7
  17.2056	 383.913	    7
  17.2059	 383.932	    7
  17.2063	 383.952	    7
  17.2067	 383.971	    7
  17.2070	 383.991	    7
  17.2074	 384.010	    7
  17.2078	 384.030	    7
  17.2081	 384.050	    7
  17.2085	 384.069	    7
  17.2089	 384.089	    7
  17.2093	 384.108	    7
  17.2096	 384.128	    7
  17.2100	 384.147	    7
  17.2104	 384.167	    7
  17.2107	 384.186	    7
  17.2111	 384.206	    7
  17.2115	 384.226	    7
  17.2118	 384.245	    7
  17.2122	 384.265	    7
  17.2126	 384.284	    7
  17.2129	 384.304	    7
  17.2133	 384.323	    7
  17.2137	 384.343	    7
  17.2141	 384.363	    7
  17.2144	 384.382	    7
  17.2148	 384.402	    7
  17.2152	 384.421	    7
  17.2155	 384.441	    7
  17.2159	 384.460	    7
  17.2163	 384.480	    7
  17.2166	 384.500	    7
  17.2170	 384.519	    7
  17.2174	 384.539	    7
  17.2178	 384.558	    7
  17.2181	 384.578	    7
  17.2185	 384.597	    7
  17.2189	 384.617	    7
  17.2192	 384.637	    7
  17.2196	 384.656	    7
  17.2200	 384.676	    7
  17.2203	 384.695	    7
  17.2207	 384.715	    7
  17.2211	 384.734	    7
  17.2215	 384.754	    7
  17.2218	 384.773	    7
  17.2222	 384.793	    7
  17.2226	 384.813	    8
  17.2229	 384.832	    7
  17.2233	 384.852	    8
  17.2237	 384.871	    7
  17.2240	 384.891	    8
  17.2244	 384.910	    7
  17.2248	 384.930	    8
  17.2252	 384.950	    7
  17.2255	 384.969	    8
  17.2259	 384.989	    7
  17.2263	 385.008	    7
  17.2266	 385.028	    7
  17.2270	 385.047	    7
  17.2274	 385.067	    7
  17.2277	 385.087	    7
  17.2281	 385.106	    7
  17.2285	 385.126	    7
  17.2289	 385.145	    7
  17.2292	 385.165	    7
  17.2296	 385.184	    7
  17.2300	 385.204	    7
  17.2303	 385.223	    7
  17.2307	 385.243	    7
  17.2311	 385.263	    7
  17.2314	 385.282	    7
  17.2318	 385.302	    7
  17.2322	 385.321	    7
  17.2326	 385.341	    7
  17.2329	 385.360	    7
  17.2333	 385.380	    7
  17.2337	 385.400	    7
  17.2340	 385.419	    7
  17.2344	 385.439	    7
  17.2348	 385.458	    7
  17.2351	 385.478	    8
  17.2355	 385.497	    7
  17.2359	 385.517	    7
  17.2362	 385.537	    7
  17.2366	 385.556	    7
  17.2370	 385.576	    7
  17.2374	 385.595	    8
  17.2377	 385.615	    7
  17.2381	 385.634	    8
  17.2385	 385.654	    7
  17.2388	 385.674	    8
  17.2392	 385.693	    7
  17.2396	 385.713	    8
  17.2399	 385.732	    7
  17.2403	 385.752	    7
  17.2407	 385.771	    7
  17.2411	 385.791	    8
  17.2414	 385.810	    7
  17.2418	 385.830	    8
  17.2422	 385.850	    7
  17.2425	 385.869	    8
  17.2429	 385.889	    7
  17.2433	 385.908	    8
  17.2436	 385.928	    7
  17.2440	 385.947	    8
  17.2444	 385.967	    7
  17.2448	 385.987	    8
  17.2451	 386.006	    7
  17.2455	 386.026	    8
  17.2459	 386.045	    7
  17.2462	 386.065	    8
  17.2466	 386.084	    8
  17.2470	 386.104	    8
  17.2473	 386.124	    8
  17.2477	 386.143	    8
  17.2481	 386.163	    8
  17.2485	 386.182	    8
  17.2488	 386.202	    7
  17.2492	 386.221	    8
  17.2496	 386.241	    8
  17.2499	 386.260	    8
  17.2503	 386.280	    8
  17.2507	 386.300	    8
  17.2510	 386.319	    8
  17.2514	 386.339	    8
  17.2518	 386.358	    8
  17.2522	 386.378	    8
  17.2525	 386.397	    8
  17.2529	 386.417	    8
  17.2533	 386.437	    8
  17.2536	 386.456	    8
  17.2540	 386.476	    8
  17.2544	 386.495	    9
  17.2547	 386.515	    9
  17.2551	 386.534	    9
  17.2555	 386.554	    9
  17.2559	 386.574	   10
  17.2562	 386.593	   10
  17.2566	 386.613	   10
  17.2570	 386.632	   10
  17.2573	 386.652	   11
  17.2577	 386.671	   11
  17.2581	 386.691	   11
  17.2584	 386.711	   11
  17.2588	 386.730	   11
  17.2592	 386.750	   11
  17.2595	 386.769	   11
  17.2599	 386.789	   10
  17.2603	 386.808	   10
  17.2607	 386.828	    9
  17.2610	 386.847	    9
  17.2614	 386.867	    9
  17.2618	 386.887	    9
  17.2621	 386.906	    8
  17.2625	 386.926	    8
  17.2629	 386.945	    8
  17.2632	 386.965	    8
  17.2636	 386.984	    8
  17.2640	 387.004	    8
  17.2644	 387.024	    8
  17.2647	 387.043	    8
  17.2651	 387.063	    8
  17.2655	 387.082	    8
  17.2658	 387.102	    8
  17.2662	 387.121	    8
  17.2666	 387.141	    7
  17.2669	 387.161	    8
  17.2673	 387.180	    7
  17.2677	 387.200	    8
  17.2681	 387.219	    7
  17.2684	 387.239	    8
  17.2688	 387.258	    7
  17.2692	 387.278	    8
  17.2695	 387.297	    7
  17.2699	 387.317	    8
  17.2703	 387.337	    7
  17.2706	 387.356	    8
  17.2710	 387.376	    7
  17.2714	 387.395	    8
  17.2718	 387.415	    7
  17.2721	 387.434	    8
  17.2725	 387.454	    7
  17.2729	 387.474	    8
  17.2732	 387.493	    7
  17.2736	 387.513	    8
  17.2740	 387.532	    7
  17.2743	 387.552	    8
  17.2747	 387.571	    7
  17.2751	 387.591	    8
  17.2755	 387.611	    7
  17.2758	 387.630	    8
  17.2762	 387.650	    7
  17.2766	 387.669	    8
  17.2769	 387.689	    7
  17.2773	 387.708	    8
  17.2777	 387.728	    7
  17.2780	 387.748	    8
  17.2784	 387.767	    7
  17.2788	 387.787	    8
  17.2792	 387.806	    7
  17.2795	 387.826	    8
  17.2799	 387.845	    7
  17.2803	 387.865	    8
  17.2806	 387.884	    7
  17.2810	 387.904	    8
  17.2814	 387.924	    7
  17.2817	 387.943	    8
  17.2821	 387.963	    7
  17.2825	 387.982	    8
  17.2828	 388.002	    7
  17.2832	 388.021	    8
  17.2836	 388.041	    8
  17.2840	 388.061	    8
  17.2843	 388.080	    8
  17.2847	 388.100	    8
  17.2851	 388.119	    8
  17.2854	 388.139	    8
  17.2858	 388.158	    7
  17.2862	 388.178	    8
  17.2865	 388.198	    7
  17.2869	 388.217	    8
  17.2873	 388.237	    7
  17.2877	 388.256	    8
  17.2880	 388.276	    7
  17.2884	 388.295	    8
  17.2888	 388.315	    8
  17.2891	 388.334	    8
  17.2895	 388.354	    7
  17.2899	 388.374	    8
  17.2902	 388.393	    8
  17.2906	 388.413	    8
  17.2910	 388.432	    8
  17.2914	 388.452	    8
  17.2917	 388.471	    8
  17.2921	 388.491	    8
  17.2925	 388.511	    7
  17.2928	 388.530	    8
  17.2932	 388.550	    7
  17.2936	 388.569	    8
  17.2939	 388.589	    7
  17.2943	 388.608	    8
  17.2947	 388.628	    7
  17.2951	 388.648	    8
  17.2954	 388.667	    8
  17.2958	 388.687	    8
  17.2962	 388.706	    8
  17.2965	 388.726	    8
  17.2969	 388.745	    8
  17.2973	 388.765	    8
  17.2976	 388.784	    8
  17.2980	 388.804	    8
  17.2984	 388.824	    8
  17.2988	 388.843	    8
  17.2991	 388.863	    8
  17.2995	 388.882	    8
  17.2999	 388.902	    8
  17.3002	 388.921	    8
  17.3006	 388.941	    8
  17.3010	 388.961	    8
  17.3013	 388.980	    8
  17.3017	 389.000	    8
  17.3021	 389.019	    8
  17.3025	 389.039	    8
  17.3028	 389.058	    8
  17.3032	 389.078	    8
  17.3036	 389.098	    8
  17.3039	 389.117	    8
  17.3043	 389.137	    8
  17.3047	 389.156	    8
  17.3050	 389.176	    8
  17.3054	 389.195	    8
  17.3058	 389.215	    8
  17.3061	 389.235	    8
  17.3065	 389.254	    8
  17.3069	 389.274	    8
  17.3073	 389.293	    8
  17.3076	 389.313	    8
  17.3080	 389.332	    8
  17.3084	 389.352	    8
  17.3087	 389.371	    8
  17.3091	 389.391	    8
  17.3095	 389.411	    8
  17.3098	 389.430	    8
  17.3102	 389.450	    8
  17.3106	 389.469	    8
  17.3110	 389.489	    8
  17.3113	 389.508	    8
  17.3117	 389.528	    8
  17.3121	 389.548	    8
  17.3124	 389.567	    8
  17.3128	 389.587	    8
  17.3132	 389.606	    8
  17.3135	 389.626	    8
  17.3139	 389.645	    8
  17.3143	 389.665	    9
  17.3147	 389.685	    8
  17.3150	 389.704	    9
  17.3154	 389.724	    8
  17.3158	 389.743	    9
  17.3161	 389.763	    9
  17.3165	 389.782	    9
  17.3169	 389.802	    9
  17.3172	 389.821	    9
  17.3176	 389.841	    9
  17.3180	 389.861	    9
  17.3184	 389.880	    9
  17.3187	 389.900	    9
  17.3191	 389.919	    9
  17.3195	 389.939	   10
  17.3198	 389.958	   10
  17.3202	 389.978	   10
  17.3206	 389.998	   10
  17.3209	 390.017	   10
  17.3213	 390.037	   10
  17.3217	 390.056	   10
  17.3221	 390.076	   10
  17.3224	 390.095	   10
  17.3228	 390.115	   10
  17.3232	 390.135	   10
  17.3235	 390.154	   10
  17.3239	 390.174	   10
  17.3243	 390.193	   10
  17.3246	 390.213	   10
  17.3250	 390.232	   10
  17.3254	 390.252	   10
  17.3258	 390.272	   10
  17.3261	 390.291	   10
  17.3265	 390.311	   10
  17.3269	 390.330	   10
  17.3272	 390.350	   10
  17.3276	 390.369	   10
  17.3280	 390.389	   10
  17.3283	 390.408	   10
  17.3287	 390.428	   10
  17.3291	 390.448	   10
  17.3294	 390.467	   10
  17.3298	 390.487	   10
  17.3302	 390.506	   10
  17.3306	 390.526	   10
  17.3309	 390.545	   10
  17.3313	 390.565	   10
  17.3317	 390.585	   10
  17.3320	 390.604	   11
  17.3324	 390.624	   11
  17.3328	 390.643	   11
  17.3331	 390.663	   11
  17.3335	 390.682	   12
  17.3339	 390.702	   12
  17.3343	 390.722	   12
  17.3346	 390.741	   12
  17.3350	 390.761	   13
  17.3354	 390.780	   13
  17.3357	 390.800	   13
  17.3361	 390.819	   13
  17.3365	 390.839	   14
  17.3368	 390.858	   14
  17.3372	 390.878	   14
  17.3376	 390.898	   14
  17.3380	 390.917	   15
  17.3383	 390.937	   14
  17.3387	 390.956	   15
  17.3391	 390.976	   15
  17.3394	 390.995	   15
  17.3398	 391.015	   15
  17.3402	 391.035	   16
  17.3405	 391.054	   16
  17.3409	 391.074	   16
  17.3413	 391.093	   17
  17.3417	 391.113	   17
  17.3420	 391.132	   18
  17.3424	 391.152	   19
  17.3428	 391.172	   19
  17.3431	 391.191	   20
  17.3435	 391.211	   21
  17.3439	 391.230	   22
  17.3442	 391.250	   23
  17.3446	 391.269	   24
  17.3450	 391.289	   25
  17.3454	 391.309	   26
  17.3457	 391.328	   26
  17.3461	 391.348	   27
  17.3465	 391.367	   27
  17.3468	 391.387	   28
  17.3472	 391.406	   27
  17.3476	 391.426	   27
  17.3479	 391.445	   26
  17.3483	 391.465	   26
  17.3487	 391.485	   25
